"","datetime","date","precip.mm","duration.hrs","max_5.mmhr","max_10.mmhr","max_15.mmhr","max_30.mmhr","max_60.mmhr","energy.mjha","ei30.mjmmhahr","not.baseflow.cutoff"
"294",2006-07-04 23:15:00,2006-07-04,27.32,29,6.242,6.242,6.242,6.149,5.327,3.551,21.833,TRUE
"295",2006-07-12 14:15:00,2006-07-12,5.59,14.5,5.68,5.68,5.68,3.614,2.204,0.661,2.387,TRUE
"296",2006-07-13 14:15:00,2006-07-13,15.28,1.25,63.235,42.739,35.908,23.931,15.241,2.707,64.781,TRUE
"297",2006-07-15 08:30:00,2006-07-15,0.04,0.25,0.336,0.21,0.168,0.08,0.04,0.002,0,FALSE
"298",2006-07-15 15:00:00,2006-07-15,0.99,1,4.449,3.19,2.771,1.427,0.989,0.081,0.115,FALSE
"299",2006-07-18 19:15:00,2006-07-18,2.37,1.25,6.112,5.309,5.041,2.72,2.202,0.278,0.756,FALSE
"300",2006-07-22 13:45:00,2006-07-22,17.38,6,25.585,25.585,25.585,21.095,13.122,3.545,74.777,TRUE
"301",2006-07-23 05:00:00,2006-07-23,0.03,0.25,0.2,0.14,0.12,0.06,0.03,0.002,0,TRUE
"302",2006-07-27 16:45:00,2006-07-27,1.34,6.25,1.246,1.246,1.246,1.24,0.778,0.128,0.158,FALSE
"303",2006-07-28 06:45:00,2006-07-28,0.45,6,1.2,1.2,1.2,0.605,0.308,0.038,0.023,FALSE
"304",2006-08-04 01:30:00,2006-08-04,0.04,0.25,0.46,0.25,0.18,0.08,0.04,0.001,0,FALSE
"305",2006-08-07 02:15:00,2006-08-07,0.84,2.75,1.599,1.599,1.599,0.929,0.547,0.079,0.073,FALSE
"306",2006-08-07 17:30:00,2006-08-07,14.35,1.75,44.491,44.491,44.491,24.636,13.534,3.553,87.525,TRUE
"307",2006-08-08 01:15:00,2006-08-08,0.06,0,0.72,0.36,0.24,0.12,0.06,0,0,TRUE
"308",2006-08-10 11:00:00,2006-08-10,3.49,3,2.34,2.34,2.34,2.327,1.843,0.371,0.863,FALSE
"309",2006-08-11 10:45:00,2006-08-11,0.02,0.25,0.16,0.1,0.08,0.04,0.02,0.001,0,FALSE
"310",2006-08-20 14:45:00,2006-08-20,0.1,0.25,0.755,0.503,0.419,0.2,0.1,0.005,0.001,FALSE
"311",2006-08-22 20:45:00,2006-08-22,0.11,5.5,0.263,0.158,0.123,0.102,0.062,0.008,0.001,FALSE
"312",2006-08-23 23:00:00,2006-08-23,0.05,2.5,0.293,0.167,0.124,0.067,0.038,0.002,0,FALSE
"313",2006-08-24 15:45:00,2006-08-24,0.11,6.75,0.32,0.2,0.16,0.082,0.044,0.007,0.001,FALSE
"314",2006-08-25 21:30:00,2006-08-25,0.1,2.25,0.16,0.1,0.08,0.08,0.055,0.007,0.001,FALSE
"315",2006-08-27 02:15:00,2006-08-27,2.78,2,5.28,5.28,5.28,4.517,2.635,0.376,1.7,FALSE
"316",2006-08-27 14:15:00,2006-08-27,0.74,10,1.237,1.237,1.237,0.745,0.422,0.066,0.049,FALSE
